epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8875,0.9765,3.71832,1.4892,0.81574,0.03534,0.07829,0.05444,1.14173,3.22003,1.64169,0.00330969,0.00330969,0.00330969
2,83.9465,0.98931,3.34588,1.4688,0.13091,0.27976,0.10604,0.05799,1.53098,3.57687,2.38587,0.00663645,0.00663645,0.00663645
3,109.923,1.0711,2.93656,1.52095,0.19043,0.29072,0.16343,0.09034,1.40738,2.89237,2.04136,0.00995661,0.00995661,0.00995661
4,132.239,1.12552,2.83403,1.55349,0.23264,0.36677,0.24092,0.14213,1.38766,2.73989,1.98791,0.0099703,0.0099703,0.0099703
5,154.907,1.14201,2.7227,1.56547,0.38195,0.26917,0.24387,0.14679,1.36219,2.67022,1.81912,0.0099604,0.0099604,0.0099604
6,177.35,1.12083,2.5826,1.54298,0.32218,0.34405,0.27245,0.15981,1.46864,2.70507,2.00958,0.0099505,0.0099505,0.0099505
7,199.63,1.12946,2.50874,1.54204,0.50758,0.39365,0.41055,0.24243,1.43416,2.30805,1.87131,0.0099406,0.0099406,0.0099406
8,222.713,1.09102,2.39549,1.50638,0.48374,0.39917,0.40045,0.25685,1.28352,2.24564,1.74487,0.0099307,0.0099307,0.0099307
9,245.347,1.07314,2.30858,1.5076,0.49219,0.38819,0.40438,0.26092,1.24147,2.24968,1.70615,0.0099208,0.0099208,0.0099208
10,267.575,1.07277,2.25715,1.49033,0.5502,0.37756,0.41312,0.25804,1.27234,2.28413,1.71708,0.0099109,0.0099109,0.0099109
11,289.21,1.02939,2.15597,1.46145,0.40283,0.37671,0.3536,0.22033,1.39239,2.57734,1.89264,0.009901,0.009901,0.009901
12,310.865,1.04648,2.111,1.47826,0.54578,0.41437,0.43941,0.28682,1.29521,2.1526,1.77364,0.0098911,0.0098911,0.0098911
13,332.471,1.02231,2.05644,1.45959,0.56651,0.45727,0.47549,0.30913,1.28157,2.11535,1.70899,0.0098812,0.0098812,0.0098812
14,354.541,1.02201,2.04974,1.45599,0.55766,0.45674,0.48223,0.31094,1.25521,2.01343,1.72652,0.0098713,0.0098713,0.0098713
15,376.094,0.99067,1.96246,1.42639,0.49861,0.45332,0.45221,0.29026,1.21617,2.0861,1.74563,0.0098614,0.0098614,0.0098614
16,397.258,1.00817,1.93213,1.44542,0.59655,0.44932,0.4689,0.30911,1.20993,2.0215,1.64833,0.0098515,0.0098515,0.0098515
17,419.408,0.99088,1.90417,1.42819,0.57585,0.45617,0.48213,0.32284,1.19572,2.03207,1.61603,0.0098416,0.0098416,0.0098416
18,441.079,0.96917,1.82695,1.4205,0.63946,0.42006,0.47199,0.30919,1.22683,2.10474,1.6852,0.0098317,0.0098317,0.0098317
19,463.278,0.97895,1.86059,1.41736,0.68001,0.39905,0.49733,0.34124,1.15708,1.99056,1.61442,0.0098218,0.0098218,0.0098218
20,484.989,0.97124,1.7796,1.42268,0.63401,0.47333,0.51167,0.35761,1.12844,1.88593,1.57301,0.0098119,0.0098119,0.0098119
21,506.52,0.97172,1.72312,1.41127,0.64955,0.43544,0.48124,0.30827,1.21838,1.94606,1.68463,0.009802,0.009802,0.009802
22,528.096,0.95124,1.71784,1.39497,0.68924,0.47378,0.54039,0.37785,1.16461,1.79849,1.57786,0.0097921,0.0097921,0.0097921
23,550.659,0.96444,1.67632,1.4112,0.7016,0.51606,0.5797,0.40469,1.14903,1.68743,1.57099,0.0097822,0.0097822,0.0097822
24,572.545,0.95058,1.6532,1.38612,0.68699,0.52133,0.58493,0.39444,1.18602,1.69584,1.63314,0.0097723,0.0097723,0.0097723
25,594.288,0.93204,1.59481,1.38778,0.64413,0.51315,0.53628,0.37136,1.14827,1.90077,1.60453,0.0097624,0.0097624,0.0097624
26,615.767,0.91104,1.5601,1.36781,0.68557,0.49374,0.56107,0.39345,1.13309,1.75767,1.60006,0.0097525,0.0097525,0.0097525
27,637.289,0.92183,1.55317,1.37044,0.6807,0.50453,0.54785,0.37586,1.1543,1.78515,1.58112,0.0097426,0.0097426,0.0097426
28,659.375,0.9125,1.57825,1.3657,0.6711,0.51507,0.55057,0.38171,1.16434,1.76202,1.59308,0.0097327,0.0097327,0.0097327
29,681.246,0.91307,1.54704,1.36828,0.7007,0.49036,0.55547,0.37505,1.20181,1.85048,1.67701,0.0097228,0.0097228,0.0097228
30,702.99,0.89154,1.42947,1.34627,0.67414,0.48147,0.54758,0.37986,1.13531,1.73836,1.57281,0.0097129,0.0097129,0.0097129
31,726.71,0.90831,1.47276,1.36997,0.69244,0.47147,0.5563,0.37822,1.21344,1.84494,1.65576,0.009703,0.009703,0.009703
32,749.721,0.89902,1.44079,1.34347,0.64312,0.52432,0.55184,0.37424,1.14077,1.74478,1.57679,0.0096931,0.0096931,0.0096931
33,774.734,0.86905,1.37204,1.33481,0.64209,0.526,0.58547,0.39945,1.10296,1.66485,1.53667,0.0096832,0.0096832,0.0096832
