epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.961,1.09079,3.70003,1.49977,0.17694,0.24788,0.15453,0.09912,1.19935,3.51123,1.52334,0.000194995,0.000194995,0.000194995
2,1333.55,1.11362,3.00716,1.50009,0.32957,0.42058,0.28281,0.17966,1.26637,3.31959,1.62182,0.000383253,0.000383253,0.000383253
3,490.922,1.09046,2.70538,1.52265,0.45145,0.33095,0.32057,0.20673,1.23728,2.95955,1.59421,0.00056375,0.00056375,0.00056375
4,984.038,1.04036,2.45295,1.42179,0.49019,0.42361,0.39627,0.25658,1.22599,2.83635,1.58116,0.000553073,0.000553073,0.000553073
5,1472.24,1.07071,2.39994,1.46272,0.53467,0.44858,0.47037,0.31041,1.19152,2.48367,1.4995,0.00054143,0.00054143,0.00054143
6,1960.61,1.06172,2.27196,1.42876,0.59176,0.48011,0.51034,0.33984,1.18374,2.32276,1.5063,0.000529788,0.000529788,0.000529788
7,2442.64,1.02364,2.13341,1.417,0.53254,0.47871,0.50958,0.35001,1.1394,2.27301,1.46012,0.000518146,0.000518146,0.000518146
8,2947.13,0.99789,2.00226,1.38453,0.61193,0.5015,0.5323,0.36849,1.13785,2.1615,1.45967,0.000506503,0.000506503,0.000506503
9,3333,1.0224,1.92722,1.39033,0.64058,0.52065,0.57343,0.4022,1.11269,1.99741,1.42843,0.000494861,0.000494861,0.000494861
10,3718.63,0.97849,1.84571,1.35062,0.63115,0.53023,0.58638,0.40221,1.12012,1.91066,1.4388,0.000483218,0.000483218,0.000483218
11,4102.73,0.96671,1.77508,1.35919,0.64706,0.55036,0.59488,0.41687,1.09086,1.86403,1.41947,0.000471576,0.000471576,0.000471576
12,4488.53,0.94256,1.74447,1.33955,0.6641,0.5674,0.62104,0.43498,1.10088,1.75549,1.41128,0.000459934,0.000459934,0.000459934
13,4874.49,0.94643,1.66261,1.32649,0.65877,0.54915,0.6177,0.44556,1.09156,1.77134,1.38372,0.000448291,0.000448291,0.000448291
14,5260.42,0.90989,1.61837,1.30685,0.69619,0.53897,0.61538,0.44024,1.06282,1.79947,1.38245,0.000436649,0.000436649,0.000436649
15,5646.97,0.91165,1.53545,1.30755,0.63698,0.59256,0.61851,0.43173,1.10234,1.73949,1.42979,0.000425006,0.000425006,0.000425006
16,6031.92,0.89233,1.51863,1.29257,0.73688,0.54097,0.62648,0.44746,1.09429,1.69461,1.41439,0.000413364,0.000413364,0.000413364
17,6418.22,0.91285,1.47386,1.29838,0.66014,0.57764,0.65249,0.46129,1.06184,1.64149,1.37213,0.000401722,0.000401722,0.000401722
18,6803.61,0.88747,1.4471,1.29441,0.6979,0.57217,0.64682,0.45971,1.06153,1.56281,1.37503,0.000390079,0.000390079,0.000390079
19,7188.45,0.87723,1.40665,1.29075,0.71415,0.60158,0.6546,0.45846,1.0729,1.62924,1.37941,0.000378437,0.000378437,0.000378437
20,7572.8,0.8577,1.38104,1.27316,0.71914,0.56268,0.62961,0.45488,1.05298,1.63562,1.36292,0.000366794,0.000366794,0.000366794
21,7957.32,0.86877,1.35411,1.27226,0.71231,0.60791,0.6867,0.49357,1.05168,1.4725,1.35197,0.000355152,0.000355152,0.000355152
22,8343.44,0.83709,1.29232,1.24776,0.76689,0.54366,0.66547,0.47898,1.04144,1.5019,1.36119,0.00034351,0.00034351,0.00034351
