epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.448,0.99594,3.76209,1.41739,0.1851,0.22437,0.10628,0.06616,1.1892,2.92233,1.61657,0.00332418,0.00332418,0.00332418
2,185.989,1.07229,3.04244,1.45241,0.31846,0.35454,0.25846,0.15893,1.20683,2.44842,1.57192,0.00665092,0.00665092,0.00665092
3,275.873,1.11234,2.74225,1.47332,0.26015,0.29915,0.21043,0.12508,1.33612,2.76346,1.70835,0.00997106,0.00997106,0.00997106
4,355.539,1.18738,2.70774,1.52927,0.26727,0.31463,0.22641,0.12775,1.45322,2.79535,1.86409,0.0099703,0.0099703,0.0099703
5,431.709,1.18376,2.54345,1.522,0.3885,0.32029,0.29518,0.17427,1.39115,2.41537,1.72252,0.0099604,0.0099604,0.0099604
6,506.074,1.15101,2.3928,1.50047,0.40812,0.31474,0.28863,0.16919,1.38158,2.45633,1.76689,0.0099505,0.0099505,0.0099505
7,575.6,1.12432,2.24846,1.47134,0.43491,0.38642,0.37169,0.22685,1.32614,2.25992,1.69649,0.0099406,0.0099406,0.0099406
8,645.909,1.1164,2.17798,1.4589,0.52705,0.41221,0.4307,0.2714,1.25566,2.03239,1.61105,0.0099307,0.0099307,0.0099307
9,725.661,1.08895,2.07492,1.44724,0.5045,0.39667,0.41983,0.26337,1.25942,2.00637,1.5907,0.0099208,0.0099208,0.0099208
10,783.729,1.0854,1.97076,1.43141,0.54307,0.45144,0.47117,0.30602,1.20507,1.87728,1.53095,0.0099109,0.0099109,0.0099109
11,842.164,1.05825,1.87968,1.41071,0.52648,0.41933,0.43898,0.29061,1.20968,2.02797,1.59963,0.009901,0.009901,0.009901
12,899.745,1.04118,1.83621,1.40348,0.55894,0.46087,0.49205,0.32065,1.22255,1.8854,1.5928,0.0098911,0.0098911,0.0098911
13,962.219,1.04202,1.76509,1.39658,0.57986,0.44606,0.47091,0.31782,1.17502,1.90591,1.50887,0.0098812,0.0098812,0.0098812
14,1018.89,1.0196,1.70932,1.37408,0.59166,0.50385,0.52937,0.36055,1.11837,1.72718,1.46879,0.0098713,0.0098713,0.0098713
15,1087.32,0.99974,1.69634,1.37063,0.64548,0.48705,0.53008,0.35638,1.15239,1.73108,1.49787,0.0098614,0.0098614,0.0098614
16,1145.6,1.01312,1.66943,1.37371,0.61689,0.49511,0.53444,0.3713,1.11849,1.68581,1.47555,0.0098515,0.0098515,0.0098515
17,1203.29,1.00615,1.63699,1.3755,0.66612,0.51257,0.56107,0.38576,1.1077,1.61151,1.45489,0.0098416,0.0098416,0.0098416
18,1259.45,0.978,1.60898,1.35965,0.66577,0.5162,0.57096,0.39147,1.10923,1.59457,1.45377,0.0098317,0.0098317,0.0098317
19,1315.92,0.95711,1.50334,1.338,0.64918,0.53573,0.5782,0.40235,1.08921,1.57448,1.44213,0.0098218,0.0098218,0.0098218
20,1378.28,0.96019,1.49095,1.33634,0.67262,0.53741,0.59622,0.4107,1.10506,1.52465,1.45287,0.0098119,0.0098119,0.0098119
21,1439.54,0.97025,1.47687,1.33882,0.64457,0.52672,0.57084,0.39159,1.11998,1.58304,1.48168,0.009802,0.009802,0.009802
22,1501.3,0.96415,1.46829,1.34224,0.67715,0.5193,0.57531,0.39763,1.08149,1.59146,1.43276,0.0097921,0.0097921,0.0097921
23,1562.34,0.9381,1.44909,1.32428,0.66333,0.54407,0.5888,0.4161,1.07527,1.49249,1.41947,0.0097822,0.0097822,0.0097822
24,1623.35,0.92343,1.3866,1.30892,0.68527,0.54312,0.59646,0.41771,1.07651,1.52587,1.43814,0.0097723,0.0097723,0.0097723
25,1685.42,0.93677,1.375,1.31689,0.66771,0.55732,0.60405,0.41773,1.0935,1.50245,1.45505,0.0097624,0.0097624,0.0097624
26,1746.48,0.93907,1.38013,1.30954,0.68999,0.53625,0.59653,0.41511,1.06886,1.47637,1.42778,0.0097525,0.0097525,0.0097525
27,1808.11,0.90126,1.32179,1.29764,0.68422,0.56348,0.62044,0.42889,1.0952,1.462,1.4437,0.0097426,0.0097426,0.0097426
28,1868.55,0.90483,1.31987,1.30037,0.69805,0.55121,0.62086,0.44843,1.03576,1.41363,1.377,0.0097327,0.0097327,0.0097327
29,1929.65,0.92023,1.30352,1.30918,0.75419,0.55822,0.63908,0.45325,1.04529,1.39434,1.40368,0.0097228,0.0097228,0.0097228
30,1990.57,0.90812,1.27942,1.3013,0.72221,0.529,0.61331,0.43331,1.05459,1.46873,1.41335,0.0097129,0.0097129,0.0097129
31,2052.11,0.89123,1.27627,1.29149,0.72053,0.58056,0.65396,0.4628,1.06082,1.37094,1.42588,0.009703,0.009703,0.009703
32,2112.32,0.88493,1.23754,1.27977,0.71093,0.5366,0.62334,0.43695,1.03162,1.4151,1.37586,0.0096931,0.0096931,0.0096931
33,2180.79,0.88522,1.22546,1.28153,0.70208,0.57299,0.63932,0.46261,1.02424,1.3505,1.36909,0.0096832,0.0096832,0.0096832
34,2241.96,0.868,1.20592,1.27142,0.69828,0.54552,0.60703,0.42798,1.04482,1.40834,1.40075,0.0096733,0.0096733,0.0096733
