epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6566,0.98668,3.64462,1.49831,0.25798,0.21592,0.17054,0.1145,1.11062,2.83593,1.55715,0.00019461,0.00019461,0.00019461
2,75.8976,1.01378,2.94881,1.49625,0.38544,0.32857,0.3288,0.20659,1.24611,2.54717,1.81201,0.000389321,0.000389321,0.000389321
3,112.35,0.99955,2.61338,1.48368,0.38727,0.42907,0.37063,0.23384,1.20772,2.70175,1.68875,0.000582738,0.000582738,0.000582738
4,135.234,1.00593,2.38815,1.46262,0.58054,0.3776,0.43708,0.29082,1.19646,2.10557,1.6386,0.000582179,0.000582179,0.000582179
5,157.142,0.97536,2.23134,1.45054,0.58324,0.43429,0.49184,0.32994,1.18774,2.07329,1.65775,0.000580238,0.000580238,0.000580238
6,178.78,0.97254,2.09005,1.42651,0.55817,0.4472,0.48092,0.33421,1.1651,2.04595,1.61209,0.000578298,0.000578298,0.000578298
7,200.96,0.97398,2.04673,1.42966,0.64291,0.47476,0.51701,0.34397,1.15845,1.95116,1.62663,0.000576358,0.000576358,0.000576358
8,223.836,0.9218,1.91447,1.38626,0.59274,0.52517,0.5317,0.35905,1.18651,1.79896,1.5842,0.000574417,0.000574417,0.000574417
9,246.62,0.91894,1.8432,1.38484,0.65513,0.44714,0.52794,0.36006,1.13247,1.86108,1.60817,0.000572477,0.000572477,0.000572477
10,270.749,0.91542,1.82071,1.38401,0.66796,0.52612,0.58246,0.39251,1.14053,1.70295,1.55209,0.000570536,0.000570536,0.000570536
11,294.851,0.88362,1.72445,1.36386,0.56731,0.50595,0.53479,0.36513,1.21386,1.87431,1.60396,0.000568596,0.000568596,0.000568596
12,319.078,0.88939,1.68783,1.3624,0.68575,0.52603,0.57843,0.40245,1.10291,1.68462,1.50426,0.000566656,0.000566656,0.000566656
13,343.312,0.86642,1.63269,1.3478,0.65504,0.55065,0.59191,0.40649,1.10704,1.69619,1.52783,0.000564715,0.000564715,0.000564715
14,369.444,0.86141,1.60964,1.34653,0.6311,0.562,0.60138,0.42282,1.09706,1.66718,1.53503,0.000562775,0.000562775,0.000562775
15,393.909,0.83467,1.5125,1.31466,0.68065,0.49712,0.56157,0.39432,1.0981,1.68093,1.51542,0.000560834,0.000560834,0.000560834
16,419.161,0.85078,1.48477,1.32729,0.648,0.54646,0.57238,0.40196,1.09522,1.66832,1.50838,0.000558894,0.000558894,0.000558894
17,443.932,0.84021,1.47388,1.32139,0.66421,0.52555,0.55223,0.38612,1.09869,1.83331,1.50752,0.000556954,0.000556954,0.000556954
18,468.131,0.83613,1.43159,1.32211,0.6864,0.53091,0.60031,0.41643,1.07769,1.6328,1.50787,0.000555013,0.000555013,0.000555013
19,492.351,0.84558,1.45544,1.32933,0.66265,0.56829,0.62049,0.44148,1.03839,1.61278,1.45151,0.000553073,0.000553073,0.000553073
20,517.705,0.8243,1.40595,1.32393,0.71275,0.51882,0.60168,0.42088,1.10038,1.65654,1.53992,0.000551132,0.000551132,0.000551132
21,542.982,0.82925,1.35382,1.3103,0.68107,0.58033,0.63176,0.43768,1.09966,1.58952,1.51312,0.000549192,0.000549192,0.000549192
22,567.445,0.8136,1.34452,1.30041,0.65898,0.57628,0.60649,0.42756,1.08921,1.60707,1.49937,0.000547252,0.000547252,0.000547252
23,591.788,0.8241,1.30665,1.30809,0.69896,0.56645,0.6242,0.43071,1.06536,1.56183,1.48897,0.000545311,0.000545311,0.000545311
24,617.188,0.809,1.26858,1.28436,0.70723,0.58743,0.63541,0.44703,1.06185,1.5248,1.50241,0.000543371,0.000543371,0.000543371
25,642.479,0.79132,1.221,1.29013,0.6802,0.57122,0.60675,0.42673,1.15365,1.66562,1.55194,0.00054143,0.00054143,0.00054143
26,666.849,0.77618,1.21628,1.26703,0.65075,0.57955,0.61632,0.43031,1.09189,1.5527,1.50234,0.00053949,0.00053949,0.00053949
27,691.099,0.78031,1.19104,1.26732,0.72552,0.55562,0.60832,0.43889,1.04763,1.58591,1.49217,0.00053755,0.00053755,0.00053755
