epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2856,1.30453,3.45205,1.33768,0.3112,0.04902,0.23565,0.14712,1.08098,2.93495,1.15545,0.00327381,0.00327381,0.00327381
2,18.6844,1.17118,2.58235,1.21412,0.35494,0.34876,0.30016,0.18773,1.20422,2.54332,1.27148,0.0066006,0.0066006,0.0066006
3,41.962,1.24122,2.27119,1.23146,0.56584,0.46352,0.5012,0.29814,1.30543,2.17174,1.3471,0.00992079,0.00992079,0.00992079
4,68.2561,1.33647,2.07197,1.30113,0.50714,0.40036,0.41161,0.2303,1.5838,2.41913,1.61615,0.0099703,0.0099703,0.0099703
5,80.3889,1.34189,1.86021,1.29713,0.63248,0.45523,0.52257,0.29612,1.42027,2.24128,1.43019,0.0099604,0.0099604,0.0099604
6,92.5098,1.33082,1.80551,1.30501,0.57124,0.44081,0.50215,0.29233,1.5194,1.99727,1.57816,0.0099505,0.0099505,0.0099505
7,104.451,1.30314,1.67343,1.29234,0.63367,0.53361,0.57253,0.33822,1.3863,1.79561,1.4385,0.0099406,0.0099406,0.0099406
8,116.495,1.28669,1.60055,1.27829,0.61365,0.53802,0.56768,0.3375,1.38292,1.86201,1.39931,0.0099307,0.0099307,0.0099307
9,129.169,1.25608,1.43587,1.25295,0.68242,0.62928,0.66518,0.39055,1.31628,1.5149,1.30523,0.0099208,0.0099208,0.0099208
10,140.988,1.23609,1.41816,1.24288,0.7353,0.70648,0.73322,0.46118,1.30424,1.4491,1.32098,0.0099109,0.0099109,0.0099109
11,153.016,1.24779,1.34782,1.2503,0.76544,0.69402,0.74468,0.4585,1.27079,1.29138,1.30787,0.009901,0.009901,0.009901
12,164.724,1.23332,1.34671,1.25394,0.6792,0.59664,0.66615,0.41338,1.29438,1.4702,1.31629,0.0098911,0.0098911,0.0098911
13,176.372,1.21658,1.31317,1.24196,0.71731,0.63262,0.66831,0.42512,1.31557,1.44567,1.31952,0.0098812,0.0098812,0.0098812
14,189.246,1.22571,1.28118,1.24053,0.76393,0.70449,0.75724,0.47124,1.28491,1.19607,1.30985,0.0098713,0.0098713,0.0098713
15,202.92,1.19101,1.23863,1.24063,0.75994,0.65227,0.71937,0.44412,1.30676,1.28585,1.32532,0.0098614,0.0098614,0.0098614
16,215.855,1.21545,1.22477,1.23975,0.75995,0.66456,0.75966,0.48435,1.26657,1.29831,1.29862,0.0098515,0.0098515,0.0098515
17,228.627,1.16288,1.13697,1.20959,0.7717,0.72743,0.79287,0.50938,1.23491,1.17958,1.25879,0.0098416,0.0098416,0.0098416
18,241.221,1.18691,1.15662,1.21616,0.76707,0.74075,0.7639,0.48589,1.24208,1.17386,1.263,0.0098317,0.0098317,0.0098317
19,253.709,1.17231,1.09471,1.2068,0.74697,0.70846,0.75272,0.49678,1.22853,1.22289,1.25444,0.0098218,0.0098218,0.0098218
20,265.921,1.14923,1.09403,1.2129,0.80512,0.73265,0.7803,0.48565,1.26042,1.15967,1.31133,0.0098119,0.0098119,0.0098119
21,278.198,1.15353,1.06841,1.20178,0.71402,0.74667,0.77908,0.50653,1.17867,1.13311,1.24373,0.009802,0.009802,0.009802
22,290.368,1.12572,1.02536,1.19229,0.78503,0.62845,0.74546,0.48297,1.22293,1.24371,1.25894,0.0097921,0.0097921,0.0097921
23,303.027,1.11436,1.03429,1.17805,0.85929,0.66179,0.8096,0.54401,1.17376,1.07031,1.22024,0.0097822,0.0097822,0.0097822
24,316.746,1.12907,1.04037,1.18786,0.83768,0.73936,0.82443,0.55195,1.17876,1.02688,1.22235,0.0097723,0.0097723,0.0097723
25,329.383,1.13853,1.05482,1.20366,0.82606,0.74916,0.83794,0.54635,1.22898,0.99546,1.24516,0.0097624,0.0097624,0.0097624
26,341.921,1.10738,0.98232,1.18101,0.78108,0.72394,0.81539,0.53513,1.20502,1.04806,1.27135,0.0097525,0.0097525,0.0097525
27,354.546,1.12955,0.99292,1.18227,0.79786,0.74776,0.8144,0.52272,1.24671,1.06166,1.27716,0.0097426,0.0097426,0.0097426
28,367.843,1.07715,0.96482,1.15723,0.78178,0.74428,0.81537,0.51979,1.23324,1.06573,1.24557,0.0097327,0.0097327,0.0097327
29,380.355,1.11281,0.97778,1.17518,0.73694,0.76879,0.80085,0.51471,1.22053,1.10234,1.2696,0.0097228,0.0097228,0.0097228
30,393.554,1.07461,0.94913,1.14672,0.82863,0.71495,0.80109,0.52461,1.17236,1.07297,1.2336,0.0097129,0.0097129,0.0097129
31,406.301,1.08527,0.93498,1.16002,0.79605,0.81278,0.85609,0.5754,1.1644,0.91886,1.21969,0.009703,0.009703,0.009703
32,419.609,1.06061,0.91444,1.14922,0.85408,0.71079,0.79971,0.52978,1.18843,1.02587,1.22247,0.0096931,0.0096931,0.0096931
33,432.072,1.09131,0.92004,1.15251,0.83703,0.74211,0.78726,0.51253,1.22067,1.05788,1.24526,0.0096832,0.0096832,0.0096832
34,444.698,1.04578,0.85569,1.14011,0.80469,0.76497,0.82611,0.54381,1.20209,1.00332,1.26313,0.0096733,0.0096733,0.0096733
35,457.398,1.05935,0.90572,1.1606,0.84496,0.72929,0.81665,0.54134,1.14451,0.98424,1.23804,0.0096634,0.0096634,0.0096634
36,470.615,1.07355,0.8687,1.15368,0.87383,0.74503,0.85003,0.56201,1.15439,0.94339,1.21605,0.0096535,0.0096535,0.0096535
37,483.345,1.06694,0.86013,1.1649,0.87156,0.78126,0.8565,0.56983,1.17675,0.93831,1.22647,0.0096436,0.0096436,0.0096436
38,497.701,1.01614,0.87304,1.11925,0.83116,0.78101,0.83618,0.58164,1.11936,0.95016,1.2338,0.0096337,0.0096337,0.0096337
39,510.897,1.04054,0.88297,1.14128,0.90309,0.7397,0.85718,0.57899,1.12135,0.93273,1.20568,0.0096238,0.0096238,0.0096238
40,524.067,1.02239,0.82891,1.13165,0.80908,0.74552,0.81232,0.54672,1.15199,0.95258,1.22881,0.0096139,0.0096139,0.0096139
41,537.37,1.02312,0.83172,1.12664,0.83472,0.79549,0.83694,0.56273,1.16421,0.93649,1.23634,0.009604,0.009604,0.009604
42,550.374,1.00599,0.80482,1.12345,0.83856,0.80997,0.85582,0.58156,1.12518,0.87676,1.21283,0.0095941,0.0095941,0.0095941
43,563.418,1.01188,0.85037,1.13975,0.77462,0.74732,0.79991,0.52899,1.18532,1.00664,1.25591,0.0095842,0.0095842,0.0095842
44,576.138,1.01149,0.84262,1.12207,0.86541,0.76918,0.82757,0.55655,1.15092,0.95359,1.23837,0.0095743,0.0095743,0.0095743
45,589.255,0.99829,0.7813,1.10483,0.8259,0.7571,0.8257,0.54655,1.18955,0.96197,1.2583,0.0095644,0.0095644,0.0095644
46,602.996,0.98317,0.79981,1.12031,0.7911,0.68303,0.78804,0.52619,1.18734,1.15911,1.24645,0.0095545,0.0095545,0.0095545
47,616.265,1.02149,0.8469,1.14597,0.84008,0.74459,0.83006,0.54146,1.15457,1.01485,1.22628,0.0095446,0.0095446,0.0095446
48,628.745,1.0155,0.819,1.12767,0.83427,0.81812,0.87616,0.5904,1.13141,0.8627,1.20974,0.0095347,0.0095347,0.0095347
49,641.617,0.99672,0.82869,1.12967,0.82765,0.74721,0.84352,0.58978,1.10912,0.92958,1.17701,0.0095248,0.0095248,0.0095248
50,655.526,0.97382,0.77553,1.11444,0.83207,0.75146,0.83421,0.56931,1.16322,0.94126,1.21669,0.0095149,0.0095149,0.0095149
51,668.749,0.95703,0.76444,1.10799,0.84353,0.78755,0.84959,0.58335,1.13224,0.897,1.20362,0.009505,0.009505,0.009505
52,681.934,0.98775,0.7652,1.11684,0.83847,0.82358,0.87819,0.5838,1.13123,0.85449,1.19651,0.0094951,0.0094951,0.0094951
53,695.063,0.9958,0.7783,1.12254,0.83482,0.80014,0.86224,0.56463,1.17202,0.87786,1.23953,0.0094852,0.0094852,0.0094852
54,708.595,0.95415,0.74195,1.10258,0.8189,0.82295,0.86241,0.56923,1.14379,0.87022,1.21762,0.0094753,0.0094753,0.0094753
55,721.653,0.97556,0.73529,1.09521,0.89329,0.78391,0.87342,0.59496,1.11922,0.84431,1.21193,0.0094654,0.0094654,0.0094654
56,734.779,0.9549,0.7478,1.08797,0.82875,0.75278,0.83375,0.56271,1.1029,0.94041,1.19956,0.0094555,0.0094555,0.0094555
57,748.167,0.96246,0.74979,1.08989,0.84751,0.80908,0.84606,0.56147,1.11998,0.88644,1.21642,0.0094456,0.0094456,0.0094456
58,761.613,0.9273,0.75193,1.07849,0.86166,0.80704,0.88353,0.60549,1.07812,0.85298,1.1608,0.0094357,0.0094357,0.0094357
59,775.262,0.94998,0.76322,1.08333,0.83636,0.80513,0.86957,0.58823,1.12015,0.85987,1.18921,0.0094258,0.0094258,0.0094258
60,788.621,0.93169,0.74354,1.08779,0.81233,0.79651,0.84892,0.57446,1.11611,0.87844,1.18328,0.0094159,0.0094159,0.0094159
61,801.823,0.9287,0.70805,1.07863,0.82789,0.80456,0.85893,0.58296,1.13662,0.86972,1.20786,0.009406,0.009406,0.009406
62,814.415,0.97071,0.74846,1.09682,0.85809,0.78689,0.85676,0.58121,1.10058,0.86244,1.1877,0.0093961,0.0093961,0.0093961
63,827.256,0.94013,0.72002,1.08936,0.87049,0.77348,0.86353,0.57126,1.12857,0.84912,1.21084,0.0093862,0.0093862,0.0093862
64,840.408,0.95864,0.71497,1.09783,0.90431,0.75924,0.89109,0.59566,1.14399,0.84091,1.21972,0.0093763,0.0093763,0.0093763
65,854.219,0.93449,0.71296,1.073,0.87657,0.78539,0.86356,0.56959,1.18224,0.84592,1.23442,0.0093664,0.0093664,0.0093664
66,867.484,0.93188,0.69708,1.0886,0.86716,0.81416,0.87309,0.59323,1.13776,0.82011,1.20698,0.0093565,0.0093565,0.0093565
67,880.382,0.90546,0.66876,1.06165,0.84849,0.77782,0.86193,0.58415,1.12809,0.84877,1.20474,0.0093466,0.0093466,0.0093466
68,893.621,0.90223,0.68668,1.06328,0.79433,0.79869,0.83461,0.57238,1.13441,0.93147,1.20819,0.0093367,0.0093367,0.0093367
69,907.048,0.93257,0.71744,1.07957,0.82056,0.78486,0.84656,0.58416,1.12082,0.8764,1.1994,0.0093268,0.0093268,0.0093268
70,920.2,0.92331,0.68896,1.07828,0.81533,0.81173,0.86671,0.60769,1.08645,0.86573,1.17197,0.0093169,0.0093169,0.0093169
71,934.414,0.9435,0.70992,1.08346,0.852,0.80109,0.88207,0.60679,1.12112,0.82845,1.20571,0.009307,0.009307,0.009307
72,949.285,0.90646,0.696,1.07549,0.83937,0.82046,0.86619,0.60018,1.10132,0.81087,1.20047,0.0092971,0.0092971,0.0092971
73,963.478,0.89736,0.66185,1.06471,0.84449,0.77703,0.84474,0.58031,1.13312,0.8801,1.21526,0.0092872,0.0092872,0.0092872
74,979.564,0.89247,0.67027,1.06201,0.87809,0.79894,0.8766,0.59088,1.15752,0.82452,1.22242,0.0092773,0.0092773,0.0092773
75,992.864,0.87732,0.69082,1.06452,0.89587,0.75166,0.86804,0.59847,1.13164,0.81344,1.2427,0.0092674,0.0092674,0.0092674
76,1007.31,0.87205,0.69337,1.06466,0.81829,0.81118,0.88239,0.5962,1.11369,0.81216,1.2113,0.0092575,0.0092575,0.0092575
77,1021.92,0.91674,0.69453,1.0851,0.85568,0.80061,0.87987,0.605,1.1239,0.83072,1.1995,0.0092476,0.0092476,0.0092476
78,1034.64,0.92967,0.7076,1.08239,0.88322,0.7705,0.8724,0.59442,1.11369,0.83898,1.21463,0.0092377,0.0092377,0.0092377
79,1047.56,0.85851,0.65976,1.05763,0.82506,0.81338,0.87228,0.60654,1.08601,0.82433,1.17285,0.0092278,0.0092278,0.0092278
80,1060.44,0.88711,0.65392,1.06535,0.8739,0.77671,0.85587,0.59796,1.10792,0.83083,1.21094,0.0092179,0.0092179,0.0092179
81,1073.53,0.91918,0.70561,1.08324,0.87952,0.80176,0.8841,0.61117,1.08757,0.77767,1.17344,0.009208,0.009208,0.009208
82,1086.62,0.86753,0.66288,1.03682,0.9062,0.77119,0.88483,0.60519,1.07739,0.80088,1.17754,0.0091981,0.0091981,0.0091981
83,1099.76,0.85007,0.62393,1.04531,0.83799,0.84644,0.88753,0.61713,1.07159,0.75891,1.15537,0.0091882,0.0091882,0.0091882
84,1112.87,0.88658,0.67121,1.05868,0.87951,0.79341,0.87965,0.62064,1.0538,0.80529,1.15233,0.0091783,0.0091783,0.0091783
85,1126.14,0.8808,0.6638,1.05837,0.87943,0.80197,0.87319,0.6085,1.08353,0.79173,1.16478,0.0091684,0.0091684,0.0091684
86,1139.17,0.84936,0.6345,1.03941,0.89686,0.79958,0.88169,0.62053,1.06988,0.79305,1.1881,0.0091585,0.0091585,0.0091585
87,1153.81,0.87833,0.65877,1.06029,0.85792,0.79691,0.87325,0.59867,1.10757,0.79421,1.1726,0.0091486,0.0091486,0.0091486
88,1167.12,0.87447,0.64688,1.07136,0.84798,0.81533,0.86766,0.61104,1.09456,0.78674,1.17774,0.0091387,0.0091387,0.0091387
89,1180.4,0.88769,0.64485,1.06576,0.88558,0.74644,0.86546,0.59621,1.12936,0.86847,1.20877,0.0091288,0.0091288,0.0091288
90,1193.71,0.86875,0.63448,1.05092,0.83184,0.83432,0.87393,0.61546,1.08835,0.77041,1.19697,0.0091189,0.0091189,0.0091189
91,1207.24,0.85316,0.64536,1.04696,0.86167,0.8109,0.86888,0.60608,1.06855,0.82394,1.17611,0.009109,0.009109,0.009109
92,1220.38,0.85526,0.6495,1.04441,0.88899,0.7802,0.87286,0.59622,1.08392,0.80719,1.18277,0.0090991,0.0090991,0.0090991
93,1233.61,0.84317,0.62629,1.04509,0.85224,0.7588,0.84368,0.58434,1.09414,0.87559,1.19351,0.0090892,0.0090892,0.0090892
94,1246.84,0.84079,0.6254,1.03792,0.85786,0.82556,0.88909,0.62434,1.07159,0.77952,1.16245,0.0090793,0.0090793,0.0090793
95,1259.94,0.8605,0.62235,1.04946,0.88609,0.79324,0.87363,0.6093,1.09467,0.82557,1.17657,0.0090694,0.0090694,0.0090694
96,1273.38,0.87424,0.65254,1.05782,0.90898,0.79558,0.89037,0.60522,1.12234,0.7921,1.20428,0.0090595,0.0090595,0.0090595
97,1286.58,0.84703,0.62167,1.0438,0.85147,0.85332,0.8947,0.61989,1.10681,0.76006,1.18852,0.0090496,0.0090496,0.0090496
98,1299.66,0.83533,0.61902,1.04082,0.89952,0.79816,0.87533,0.60044,1.0964,0.81817,1.20753,0.0090397,0.0090397,0.0090397
99,1312.83,0.83399,0.6079,1.03601,0.88179,0.8028,0.8823,0.60356,1.12029,0.77601,1.19532,0.0090298,0.0090298,0.0090298
100,1326.27,0.79819,0.57259,1.00949,0.84785,0.81008,0.87414,0.59558,1.11646,0.81016,1.20001,0.0090199,0.0090199,0.0090199
101,1339.37,0.81488,0.59717,1.02499,0.85205,0.81813,0.88486,0.59363,1.1254,0.79111,1.21159,0.00901,0.00901,0.00901
102,1352.38,0.80241,0.56504,1.01259,0.86045,0.82591,0.87941,0.61438,1.07502,0.82175,1.18734,0.0090001,0.0090001,0.0090001
103,1365.82,0.81278,0.58632,1.04377,0.86304,0.83671,0.8908,0.63339,1.09266,0.77584,1.18403,0.0089902,0.0089902,0.0089902
104,1379.09,0.82839,0.60693,1.02458,0.87326,0.82192,0.87391,0.61301,1.05859,0.80124,1.14499,0.0089803,0.0089803,0.0089803
105,1392.99,0.79526,0.57885,1.01074,0.85985,0.77554,0.86678,0.59481,1.09786,0.83794,1.18381,0.0089704,0.0089704,0.0089704
106,1406.12,0.8089,0.58869,1.02823,0.90636,0.78585,0.88006,0.61329,1.11292,0.80798,1.21652,0.0089605,0.0089605,0.0089605
107,1418.86,0.83218,0.60871,1.03932,0.87806,0.7943,0.87138,0.59744,1.10247,0.79504,1.21667,0.0089506,0.0089506,0.0089506
108,1431.8,0.81133,0.57918,1.02274,0.86484,0.83755,0.88712,0.60728,1.09708,0.79325,1.18794,0.0089407,0.0089407,0.0089407
109,1444.65,0.82169,0.59061,1.02504,0.87885,0.81152,0.88211,0.60092,1.12801,0.82549,1.21691,0.0089308,0.0089308,0.0089308
110,1457.89,0.7972,0.58524,1.01788,0.93475,0.80535,0.89928,0.63262,1.07678,0.78121,1.1816,0.0089209,0.0089209,0.0089209
111,1470.97,0.79933,0.57814,1.02084,0.84429,0.83637,0.88069,0.61971,1.09061,0.78666,1.18533,0.008911,0.008911,0.008911
112,1483.92,0.83447,0.60564,1.03622,0.88949,0.79842,0.89249,0.62071,1.08504,0.74704,1.19331,0.0089011,0.0089011,0.0089011
113,1497.01,0.81422,0.60792,1.02972,0.84148,0.81622,0.86239,0.61431,1.09104,0.81332,1.2033,0.0088912,0.0088912,0.0088912
114,1510.2,0.80013,0.58095,1.01208,0.86867,0.78067,0.85354,0.59969,1.10821,0.82125,1.21378,0.0088813,0.0088813,0.0088813
115,1523.2,0.78749,0.56512,1.0022,0.85292,0.82316,0.88574,0.62419,1.09464,0.75838,1.18279,0.0088714,0.0088714,0.0088714
116,1536.16,0.78896,0.5656,1.01021,0.88317,0.80402,0.88426,0.61422,1.08928,0.76184,1.1785,0.0088615,0.0088615,0.0088615
117,1549.92,0.80461,0.56662,1.01925,0.85708,0.8099,0.87822,0.61566,1.0766,0.77261,1.19451,0.0088516,0.0088516,0.0088516
118,1563.47,0.80277,0.59287,1.02905,0.81818,0.84603,0.88534,0.61084,1.09007,0.74885,1.21764,0.0088417,0.0088417,0.0088417
119,1576.85,0.76757,0.55676,0.99967,0.86021,0.81783,0.88216,0.61328,1.06566,0.75435,1.16605,0.0088318,0.0088318,0.0088318
120,1589.57,0.7965,0.58673,1.02059,0.83619,0.82705,0.87963,0.6006,1.11527,0.77036,1.1926,0.0088219,0.0088219,0.0088219
121,1602.32,0.79379,0.58272,1.02397,0.92309,0.83388,0.90373,0.61669,1.12733,0.73151,1.20877,0.008812,0.008812,0.008812
122,1615.12,0.81036,0.60118,1.03431,0.87536,0.83529,0.89452,0.62688,1.1039,0.74366,1.18629,0.0088021,0.0088021,0.0088021
123,1628.15,0.80319,0.57846,1.02616,0.87123,0.82544,0.88668,0.62123,1.08959,0.76534,1.19087,0.0087922,0.0087922,0.0087922
124,1641.84,0.77103,0.54423,1.00698,0.88044,0.79412,0.86952,0.60901,1.10669,0.79923,1.19056,0.0087823,0.0087823,0.0087823
125,1656,0.78136,0.55948,1.01227,0.87462,0.80951,0.86894,0.62078,1.04464,0.76694,1.16504,0.0087724,0.0087724,0.0087724
126,1670.17,0.78141,0.56986,1.02058,0.85647,0.81614,0.88517,0.62444,1.06406,0.758,1.17599,0.0087625,0.0087625,0.0087625
127,1685,0.78988,0.55881,1.01123,0.88412,0.81957,0.88413,0.62178,1.0843,0.74423,1.17977,0.0087526,0.0087526,0.0087526
128,1699.07,0.76388,0.55627,1.00428,0.89841,0.8163,0.88095,0.60504,1.09539,0.73876,1.1927,0.0087427,0.0087427,0.0087427
129,1713.93,0.79239,0.56358,1.02035,0.8592,0.8147,0.87717,0.59411,1.07661,0.77118,1.1856,0.0087328,0.0087328,0.0087328
130,1728.17,0.74259,0.53932,0.99539,0.88157,0.78206,0.87777,0.61476,1.06711,0.78011,1.192,0.0087229,0.0087229,0.0087229
131,1741.49,0.76964,0.55798,1.00492,0.87782,0.79723,0.88481,0.60961,1.10148,0.77438,1.21077,0.008713,0.008713,0.008713
132,1755.11,0.76136,0.53849,1.00274,0.84288,0.83226,0.89333,0.62564,1.08435,0.76357,1.18009,0.0087031,0.0087031,0.0087031
133,1768.78,0.78113,0.57345,1.01117,0.83948,0.79646,0.87201,0.60518,1.07451,0.80434,1.17904,0.0086932,0.0086932,0.0086932
134,1782.48,0.7667,0.54311,1.00723,0.83924,0.83347,0.8945,0.63227,1.07369,0.75185,1.19293,0.0086833,0.0086833,0.0086833
135,1796.78,0.76199,0.5584,1.00605,0.86655,0.83002,0.89386,0.62513,1.08351,0.75463,1.20903,0.0086734,0.0086734,0.0086734
136,1810.79,0.78804,0.56719,1.02344,0.84536,0.83661,0.89295,0.62022,1.08085,0.72248,1.21036,0.0086635,0.0086635,0.0086635
137,1824.63,0.77241,0.55119,0.9985,0.90078,0.81028,0.89394,0.63228,1.05834,0.72112,1.18197,0.0086536,0.0086536,0.0086536
138,1838.58,0.75254,0.53864,1.00006,0.91317,0.78717,0.88566,0.61739,1.07771,0.76842,1.18461,0.0086437,0.0086437,0.0086437
139,1852.63,0.75223,0.56261,1.01078,0.89299,0.83682,0.90036,0.63019,1.08933,0.71496,1.18602,0.0086338,0.0086338,0.0086338
140,1867.15,0.76074,0.56018,0.9978,0.88494,0.82332,0.89606,0.62249,1.09236,0.74206,1.19193,0.0086239,0.0086239,0.0086239
141,1881.15,0.7761,0.55845,1.0042,0.87396,0.82377,0.88679,0.62182,1.06796,0.74034,1.16949,0.008614,0.008614,0.008614
142,1895.05,0.7571,0.52638,1.00559,0.83567,0.84683,0.88814,0.63246,1.06375,0.78125,1.16098,0.0086041,0.0086041,0.0086041
143,1909.09,0.75329,0.54399,1.00548,0.89209,0.79761,0.89542,0.63922,1.05958,0.75211,1.15361,0.0085942,0.0085942,0.0085942
144,1923.85,0.73368,0.53948,0.99848,0.83958,0.83424,0.89209,0.62146,1.06783,0.74991,1.17996,0.0085843,0.0085843,0.0085843
145,1937.83,0.71889,0.51618,0.98511,0.88781,0.86185,0.88925,0.61605,1.10804,0.74373,1.20353,0.0085744,0.0085744,0.0085744
146,1951.99,0.7216,0.50952,0.98345,0.84232,0.8499,0.89216,0.61882,1.09082,0.74806,1.19975,0.0085645,0.0085645,0.0085645
147,1966.16,0.75527,0.53919,1.00021,0.87372,0.82801,0.88468,0.61405,1.10889,0.78196,1.2161,0.0085546,0.0085546,0.0085546
148,1980.12,0.75219,0.54149,1.00526,0.9114,0.76564,0.88101,0.60583,1.11158,0.79473,1.21001,0.0085447,0.0085447,0.0085447
149,1994.62,0.77061,0.55081,1.00899,0.88884,0.81917,0.90069,0.62583,1.10752,0.75042,1.21254,0.0085348,0.0085348,0.0085348
150,2008.95,0.7224,0.51406,0.98368,0.83566,0.84326,0.88478,0.62436,1.08178,0.76516,1.18677,0.0085249,0.0085249,0.0085249
151,2022.47,0.72373,0.51659,0.98338,0.84607,0.80972,0.8735,0.61086,1.10349,0.78052,1.21117,0.008515,0.008515,0.008515
152,2036.25,0.7396,0.53216,0.99532,0.8505,0.82056,0.88576,0.61885,1.10231,0.73693,1.20836,0.0085051,0.0085051,0.0085051
153,2049.86,0.72904,0.51147,0.97495,0.87424,0.7918,0.8905,0.61921,1.07322,0.75526,1.19653,0.0084952,0.0084952,0.0084952
154,2063.43,0.71618,0.51703,0.98959,0.86807,0.8057,0.88522,0.61696,1.0751,0.74517,1.18444,0.0084853,0.0084853,0.0084853
155,2077.31,0.72567,0.52447,0.97649,0.87958,0.82526,0.88392,0.60153,1.08319,0.74194,1.20124,0.0084754,0.0084754,0.0084754
156,2091.39,0.74715,0.52957,0.99378,0.87232,0.85005,0.90107,0.62676,1.11237,0.70858,1.22336,0.0084655,0.0084655,0.0084655
157,2105.51,0.73941,0.51955,0.99892,0.86125,0.84129,0.89831,0.61398,1.09442,0.71627,1.21374,0.0084556,0.0084556,0.0084556
158,2119.78,0.75437,0.55075,0.99801,0.85061,0.79548,0.87285,0.61072,1.07978,0.77207,1.19778,0.0084457,0.0084457,0.0084457
159,2134.73,0.73489,0.52355,0.99485,0.90836,0.80757,0.90285,0.62494,1.10028,0.70029,1.20637,0.0084358,0.0084358,0.0084358
160,2148.8,0.72983,0.51267,0.98741,0.87654,0.82111,0.88258,0.63316,1.06313,0.72511,1.17994,0.0084259,0.0084259,0.0084259
161,2162.68,0.71637,0.51196,0.98303,0.88419,0.82391,0.88255,0.6343,1.04944,0.74703,1.16883,0.008416,0.008416,0.008416
162,2176.86,0.73088,0.52875,0.9892,0.83363,0.82165,0.87264,0.6136,1.08132,0.81606,1.18489,0.0084061,0.0084061,0.0084061
163,2190.79,0.72939,0.50556,0.99079,0.86083,0.83891,0.9029,0.63834,1.0495,0.71495,1.1766,0.0083962,0.0083962,0.0083962
164,2204.91,0.72622,0.51276,0.98968,0.89292,0.83833,0.89145,0.62884,1.06186,0.69855,1.1887,0.0083863,0.0083863,0.0083863
165,2218.86,0.72055,0.52115,0.98688,0.88348,0.81279,0.89046,0.62655,1.06951,0.71873,1.19245,0.0083764,0.0083764,0.0083764
166,2232.69,0.71313,0.49829,0.98379,0.85155,0.83026,0.88866,0.61545,1.07647,0.7434,1.20504,0.0083665,0.0083665,0.0083665
167,2246.64,0.71244,0.50253,0.99123,0.85877,0.8284,0.88552,0.61975,1.08406,0.74211,1.20579,0.0083566,0.0083566,0.0083566
168,2261.08,0.72813,0.50345,0.98285,0.87087,0.84255,0.89605,0.62174,1.07567,0.70641,1.19797,0.0083467,0.0083467,0.0083467
169,2275.22,0.70776,0.50661,0.99338,0.90798,0.84823,0.91683,0.64884,1.04704,0.64096,1.15831,0.0083368,0.0083368,0.0083368
170,2289.33,0.73989,0.51811,1.0001,0.88503,0.77551,0.88684,0.61759,1.0858,0.73822,1.18872,0.0083269,0.0083269,0.0083269
171,2303.31,0.71351,0.51674,0.98604,0.88888,0.80761,0.89287,0.62965,1.08315,0.69813,1.19371,0.008317,0.008317,0.008317
172,2317.42,0.71311,0.50656,0.98193,0.83895,0.84458,0.89211,0.62968,1.08807,0.73408,1.20238,0.0083071,0.0083071,0.0083071
173,2331.4,0.72594,0.51063,0.98578,0.88484,0.8162,0.89161,0.63388,1.04132,0.71642,1.17086,0.0082972,0.0082972,0.0082972
174,2345.5,0.69825,0.49458,0.97038,0.85023,0.81284,0.8759,0.62396,1.06148,0.76495,1.17264,0.0082873,0.0082873,0.0082873
175,2359.53,0.72297,0.50993,0.98557,0.9131,0.81344,0.89813,0.63371,1.07738,0.70353,1.20817,0.0082774,0.0082774,0.0082774
176,2374.59,0.70996,0.51508,0.98346,0.87913,0.82055,0.88969,0.6269,1.05447,0.71473,1.17915,0.0082675,0.0082675,0.0082675
177,2387.86,0.69154,0.47563,0.97462,0.89421,0.80632,0.88435,0.6273,1.04027,0.71964,1.1798,0.0082576,0.0082576,0.0082576
