epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8308,0.92505,3.58455,1.4229,0.29955,0.19055,0.08759,0.05849,1.0586,2.8458,1.53118,0.00332143,0.00332143,0.00332143
2,131.578,0.95726,2.91228,1.42666,0.27116,0.29731,0.21867,0.13738,1.23178,2.53138,1.65797,0.00664817,0.00664817,0.00664817
3,176.61,1.0399,2.61899,1.47805,0.26169,0.26845,0.18298,0.10875,1.29147,2.68353,1.90072,0.00996832,0.00996832,0.00996832
4,221.339,1.09352,2.50676,1.51495,0.44831,0.33087,0.30242,0.18464,1.27008,2.49413,1.71678,0.0099703,0.0099703,0.0099703
5,272.966,1.09093,2.39887,1.50516,0.32711,0.37392,0.29858,0.18442,1.26552,2.44467,1.7751,0.0099604,0.0099604,0.0099604
6,331.762,1.07859,2.27625,1.49497,0.46352,0.33072,0.32951,0.20717,1.29112,2.277,1.80842,0.0099505,0.0099505,0.0099505
7,383.845,1.03311,2.15049,1.47073,0.42365,0.3626,0.32131,0.20626,1.28521,2.4046,1.79453,0.0099406,0.0099406,0.0099406
8,441.43,1.02048,2.05469,1.44668,0.47834,0.34541,0.34593,0.21572,1.25449,2.22805,1.68258,0.0099307,0.0099307,0.0099307
9,497.025,1.01345,2.00026,1.44546,0.46886,0.38223,0.35837,0.23263,1.21827,2.31758,1.67431,0.0099208,0.0099208,0.0099208
10,543.172,1.01792,1.9337,1.44667,0.55589,0.42323,0.44003,0.2968,1.15775,2.00637,1.58634,0.0099109,0.0099109,0.0099109
11,585.698,0.98804,1.82413,1.40783,0.50895,0.44178,0.4489,0.31371,1.10842,1.9523,1.57494,0.009901,0.009901,0.009901
12,626.975,0.9557,1.75356,1.3978,0.51958,0.46753,0.4683,0.31918,1.13862,1.93619,1.58414,0.0098911,0.0098911,0.0098911
13,668.356,0.94522,1.70093,1.38609,0.58555,0.4778,0.49592,0.34373,1.11085,1.82635,1.55268,0.0098812,0.0098812,0.0098812
14,710.695,0.95727,1.68276,1.39543,0.56294,0.44243,0.47777,0.33087,1.10212,1.88353,1.56648,0.0098713,0.0098713,0.0098713
15,754.859,0.95444,1.65907,1.3936,0.62966,0.47268,0.51319,0.35265,1.11784,1.77768,1.58782,0.0098614,0.0098614,0.0098614
16,802.054,0.91072,1.58457,1.3616,0.65456,0.49143,0.53828,0.37855,1.04402,1.702,1.50457,0.0098515,0.0098515,0.0098515
17,863.788,0.92358,1.54752,1.35786,0.60358,0.44824,0.49025,0.33333,1.11176,1.77862,1.59922,0.0098416,0.0098416,0.0098416
18,922.278,0.9101,1.51222,1.35747,0.59446,0.47548,0.48996,0.3493,1.07725,1.80512,1.53535,0.0098317,0.0098317,0.0098317
19,970.869,0.8889,1.44328,1.342,0.63895,0.50086,0.53741,0.38041,1.06885,1.63049,1.5135,0.0098218,0.0098218,0.0098218
20,1016.34,0.88927,1.43041,1.33598,0.63655,0.52127,0.55713,0.40218,1.0107,1.60264,1.45259,0.0098119,0.0098119,0.0098119
21,1061.27,0.89758,1.43024,1.34472,0.6065,0.47164,0.51733,0.36291,1.0362,1.69749,1.46907,0.009802,0.009802,0.009802
22,1106.4,0.88805,1.39183,1.34581,0.65978,0.50901,0.57043,0.41087,0.99451,1.52334,1.44892,0.0097921,0.0097921,0.0097921
23,1150.24,0.89555,1.40057,1.35355,0.69253,0.50318,0.57047,0.40386,1.03712,1.6007,1.49032,0.0097822,0.0097822,0.0097822
24,1194.61,0.86444,1.3445,1.32727,0.67334,0.4798,0.53249,0.3804,1.04477,1.62648,1.49859,0.0097723,0.0097723,0.0097723
25,1238.77,0.86027,1.37511,1.3227,0.68444,0.52093,0.58171,0.4285,1.0101,1.54059,1.44957,0.0097624,0.0097624,0.0097624
26,1282.81,0.84402,1.31517,1.30998,0.67961,0.47112,0.5458,0.38483,1.09509,1.64169,1.56018,0.0097525,0.0097525,0.0097525
27,1327.35,0.84776,1.27059,1.30642,0.64641,0.50337,0.55891,0.39776,1.00126,1.56994,1.4509,0.0097426,0.0097426,0.0097426
28,1371.34,0.84748,1.24836,1.30322,0.65994,0.53629,0.58208,0.4234,1.00521,1.4985,1.45397,0.0097327,0.0097327,0.0097327
29,1427.69,0.8422,1.27741,1.30242,0.69466,0.55325,0.60218,0.43568,0.98166,1.45173,1.41569,0.0097228,0.0097228,0.0097228
30,1470.91,0.82247,1.21336,1.29308,0.64798,0.52455,0.57262,0.41339,1.01366,1.48895,1.46886,0.0097129,0.0097129,0.0097129
31,1514.63,0.8369,1.23174,1.29911,0.62252,0.56073,0.60173,0.43876,0.96736,1.44689,1.40195,0.009703,0.009703,0.009703
32,1558.68,0.8162,1.19567,1.28637,0.66473,0.53207,0.58996,0.4257,0.99774,1.49061,1.46486,0.0096931,0.0096931,0.0096931
33,1602.45,0.82867,1.20169,1.28807,0.72967,0.5109,0.59122,0.42902,1.00457,1.46768,1.46992,0.0096832,0.0096832,0.0096832
34,1646.82,0.81553,1.18421,1.28151,0.68823,0.54661,0.59983,0.44281,0.99488,1.49944,1.46632,0.0096733,0.0096733,0.0096733
35,1690.82,0.82082,1.15649,1.28625,0.74069,0.53318,0.61385,0.44652,1.00508,1.46383,1.45759,0.0096634,0.0096634,0.0096634
36,1733.73,0.81663,1.12959,1.2698,0.68948,0.54572,0.61149,0.453,0.97431,1.45749,1.42933,0.0096535,0.0096535,0.0096535
37,1769.1,0.77564,1.1212,1.25923,0.6943,0.5549,0.61423,0.45303,0.97819,1.43347,1.42128,0.0096436,0.0096436,0.0096436
38,1803.35,0.80145,1.11488,1.27162,0.66411,0.55139,0.60487,0.45258,0.98744,1.40131,1.4288,0.0096337,0.0096337,0.0096337
39,1837.58,0.79477,1.10211,1.26463,0.63899,0.53925,0.59242,0.4278,0.99518,1.43621,1.44659,0.0096238,0.0096238,0.0096238
40,1871.97,0.77721,1.08596,1.25742,0.74704,0.54046,0.63039,0.4627,0.97314,1.32916,1.43056,0.0096139,0.0096139,0.0096139
41,1906.68,0.78311,1.05763,1.26243,0.73024,0.53684,0.61951,0.45738,0.98547,1.38366,1.44549,0.009604,0.009604,0.009604
42,1941.43,0.79127,1.08847,1.2565,0.69618,0.54401,0.59223,0.43836,0.98702,1.5069,1.45388,0.0095941,0.0095941,0.0095941
43,1975.62,0.76731,1.05985,1.24856,0.68815,0.56292,0.59554,0.43805,0.98084,1.44311,1.43837,0.0095842,0.0095842,0.0095842
44,2010.08,0.77517,1.05976,1.25043,0.62198,0.57339,0.59549,0.44407,0.95153,1.44074,1.3948,0.0095743,0.0095743,0.0095743
45,2044.19,0.78077,1.05773,1.2533,0.64995,0.56458,0.60681,0.45223,0.94012,1.37483,1.38278,0.0095644,0.0095644,0.0095644
46,2078.58,0.7602,1.0283,1.24798,0.70087,0.57383,0.6491,0.47241,0.94464,1.35435,1.39182,0.0095545,0.0095545,0.0095545
47,2113.06,0.78425,1.0557,1.26003,0.68158,0.56534,0.6223,0.45498,0.93896,1.33781,1.38609,0.0095446,0.0095446,0.0095446
48,2147.54,0.76867,1.0276,1.24604,0.71705,0.52938,0.62765,0.45489,0.95193,1.3652,1.40332,0.0095347,0.0095347,0.0095347
49,2182.46,0.75931,1.0341,1.24074,0.68034,0.59017,0.63941,0.46583,0.97728,1.31379,1.42504,0.0095248,0.0095248,0.0095248
50,2216.91,0.76782,1.00414,1.25177,0.74887,0.55861,0.6382,0.46623,0.96088,1.36478,1.40529,0.0095149,0.0095149,0.0095149
51,2251.31,0.75841,1.01605,1.23922,0.72884,0.57753,0.64862,0.47594,0.97299,1.30702,1.43425,0.009505,0.009505,0.009505
52,2285.55,0.74049,0.98206,1.22734,0.7188,0.55991,0.62398,0.46129,0.94698,1.35399,1.4224,0.0094951,0.0094951,0.0094951
53,2324.64,0.75496,0.98015,1.24278,0.75393,0.56064,0.63841,0.46806,0.96193,1.34701,1.41429,0.0094852,0.0094852,0.0094852
54,2359.49,0.74099,0.94348,1.21927,0.71246,0.55218,0.63378,0.46642,0.96285,1.32355,1.40631,0.0094753,0.0094753,0.0094753
55,2393.98,0.73445,0.9483,1.22557,0.66347,0.60062,0.64166,0.4835,0.92558,1.27373,1.35099,0.0094654,0.0094654,0.0094654
56,2428.29,0.74174,0.95628,1.22443,0.70935,0.58581,0.6543,0.4855,0.93709,1.30225,1.38569,0.0094555,0.0094555,0.0094555
57,2462.76,0.73651,0.93643,1.22152,0.7113,0.58869,0.65647,0.48019,0.95581,1.32478,1.39399,0.0094456,0.0094456,0.0094456
